Customer Name,Review Topic,Review Body,Rating(of 5),Review date
damola,I like it,It develops some little technical issues over time but it is still good btw.,4,28-12-2022
SHIMA,Earbud,The beat is awesome,5,28-12-2022
ul,Awesome stuff,Been using for over two months now. And it's been awesome. The bass is a dream! The controls have a bit of issue cos I can't get the hang of it but it's easily negligible.,5,27-12-2022
anuel,oraimo freepods-3 2baba earpod,The sound is cool,5,27-12-2022
ac,I love it.,It is a really good product. Great value for money. Loud and strong.,5,23-12-2022
i,good,I really like it,5,23-12-2022
vin,I love 3,It is very good,4,21-12-2022
ica,The oriamo legacy,Quality delivered as usual. The battery life is great.,5,16-12-2022
cah,Sound,Works perfectly with no issues ????,5,15-12-2022
er,Sounds great,Great sound. Battery lasts long. Clearer calls too. Will recommend.,5,15-12-2022
oma,I Love it,It’s exactly what I requested for????,5,14-12-2022
holas,good product,Perfect,5,14-12-2022
demi Tiamiyu,Good,Awesome,5,12/12/2022
AYA,It was awesome... battery last longer,It's easy to operate,4,12/12/2022
mbola,Bluetooth,The product works well,5,12/12/2022
iel,I'm in love with it,"The best Earbuds in the market right now, bass, quality, durability all in check... 10/10... Buy now oo",5,12/12/2022
iella,Absolutely love it,"Loud,comfy and maximum bass",4,12/12/2022
va,awesome,"Amazing audio, and battery life, the bass is premium, would gladly recommend to anybody",4,12/12/2022
jamin,"I didn't only like it, I love it","D best among earpods. Sound wise, ba3 wise n so on and so forth are just 101",5,9/12/2022
cy,serving its purpose,Hubby loves it,5,8/12/2022
eph,I love it,"Amazing bass and a very long battery life, it's just simply exceptional",5,7/12/2022
anuel,⭐⭐,"Make sense, top notch quality. I'm enjoying every bit of this freepods",5,7/12/2022
IQ NAGODA,Amazing,"Everything about the product is good, the design, sound quality and connectivity. It also has a long lasting battery life. Recommended ????",5,6/12/2022
rie,i like it,so so good,5,6/12/2022
our chidera,Very nice,The sound is okay and the battery life is top notch…,5,5/12/2022
le,I LIKED IT,Matched my expectations,5,5/12/2022
iam,Amazing product,Amazing product,5,5/12/2022
sa,Awesome auto connect,Very durable,5,5/12/2022
a,I like it,My client loves it,5,2/12/2022
ael,It's amazing!!!!!!!,The sound is crazy gooooooooooooood!! A must get.,5,1/12/2022
dnews,Mr,The batter is long lasting.. Nice pods,5,1/12/2022
ka,Good battery life,What i enjoy most is the long battery life. Sound is just okay,4,1/12/2022
n,I like it,"Last for long hours 
clear output and input",5,30-11-2022
ochukwu,Trinity,I like the noise cancellation,5,30-11-2022
dom Finnian,Awesome,Love it,5,30-11-2022
vin,Good product,It's nice,5,29-11-2022
riff,dope????,"Battery lasts longer, and the bass is goood",5,29-11-2022
eed,Like it,"I really love it, in fact it beyond my expectation",5,29-11-2022
boy,Best value for money earbuds i know!,"I hardly give 5 star ratings but this had to force me into doing that, it's sound really outclassed my expectation, low, mids and high ends really on point, sounds better than any 3.5mm earpiece I have ever used.. Oraimo just got my attention once again after a very long while...!",5,28-11-2022
BIYI,I like it.,Got what I expected.,5,28-11-2022
dubem,Nice Product,Useful for it's purpose,4,28-11-2022
segun,Very good,"Nice battery, good sound.",5,28-11-2022
bami,I like it,Its features meet my expectations and it works well for calls and music.,5,28-11-2022
ius,Nice sound,Recommend to all,5,28-11-2022
ashman,I like it,The sound is good and lasts up to 6 hours✅... But can't increase/reduce volume from pod3 unlike pod2,4,25-11-2022
uel Olubodun,Better,Good sound output. Especially covering outside disturbance and giving a good bass sound. Better for the price.,5,25-11-2022
buzor,I like it,Awesome and loving it,5,25-11-2022
hua,I love it,It gives a better music experience like I'm in de studio with the artistes,5,25-11-2022
uel Richards,Perfecto!!,"The sound quality is awesome, the ear tips to selevt from is a sweetspot for me. This stuff is truly built for Afrobeat. Battery life too is awesome...
Let's hope it lasts",5,24-11-2022
le,Quality,The sound is just good...good quality,5,24-11-2022
mond,Sounds okay,Mic call quality is poor,3,24-11-2022
ner,Perfect,"It's perfect for the price.....I recommend it to anyone who wants a long lasting Bluetooth earbuds

Trust me",5,24-11-2022
nezer,I love it,"Bass is lit, good clear sound.",5,23-11-2022
wabukunmi,I like it,It's okayin aspect of sound but sometimes it has issues with calls,4,23-11-2022
iq,Good product,Good quality and sound,5,23-11-2022
my,Good stuff,"It's cool. Calls are clear, good bass, good ba3 life",5,23-11-2022
washina,Good product,Very nice product  still enjoying the product it works well for me,4,23-11-2022
ahim,Product Okay,"The product was okay in terms of listening to Audio, but when it comes to voice call. I was having high distortion in the microphone and speaker whenever I call. I’m not sure if it is compatible well with an iPhone",4,23-11-2022
bueze,Good Bass,Nice product and great sound quality.,5,23-11-2022
R,EXCELLENT,it was really excellent i enjoyed it. recommend to everyone.,5,23-11-2022
SANNA,its portable and comfortable,The color,5,23-11-2022
anuel,I love it!,It sounds well and last long,5,23-11-2022
ezer Aliyu,Oraimo freepods 3,I love it ????,5,21-11-2022
reen,It is exactly what I ordered ????????????,"When fully charged,it takes me up to a week before charging it again. Oraimo is did extremely well on this one... I had no regrets cos I'm really enjoying it!",5,21-11-2022
GSLEY,Good Product,Really enjoy the earbuds and it last up to 7hrs ..????,4,21-11-2022
mola,good,I like the fact that it connects as soon as the device lid is open.,5,21-11-2022
eb,Good,Good product,4,21-11-2022
lara,Bass,"I love the bass.....but the silicone materials doesn't allow the buds fit in well, I had to remove them.",5,21-11-2022
y,Superb,Great Bass and I'm really flexing it,5,21-11-2022
lins,Average,"The sound quality and bass is good. It has many issues with calls. Overall, it is very average and doesn't worth the hype",3,21-11-2022
anyi,I love it,Sound quality is amazing.Easy to use and battery life is good.,5,21-11-2022
by,power issues,"The device is awesome with great bass. But the power should be worked on.  You can turn it off remotely except you leave it discounted  and then goes off after 3mins. There should be a indication that the pods are charging in the case. The ear loops should be made firm and better go avoid looseness causing it to drop off the pods.
Sometimes people find it hard to hear and the noise cancellation is not as strong as advertised.
Apart from that, they are great. I recommend  anyone getting the device.",4,21-11-2022
ola,Works perfectly,Just as described,5,21-11-2022
LIAMS,I love it,"I love it. It's working fine and the bass is super.

oh yeah, it has longer playtime",5,21-11-2022
