review_text,predicted_sentiment,confidence_pct
"Its great, better bass but it blocks d ear when not hearing or playing anything. 
It painful when worn for long. 
It disconnect nd reconnect itself. 
It will b better if all this are considered in d next product",Positive,100.0
Very Very Good Product,Negative,100.0
Good product,Negative,100.0
"It's pretty cool, noise consolation needs to be better",Positive,100.0
"Great product from oriamo, the bass just perfect
It like filter air in the ears, so cool",Positive,100.0
Amazing sound but sometimes don't allow to connect  both ears together,Positive,100.0
"I got exactly what I ordered, and it’s working perfectly.",Positive,100.0
It's bassy sound and easy connectability,Positive,100.0
It’s very nice,Negative,100.0
It’s lovely and battery health last long ????????,Positive,100.0
Best product I have had from oriamo,Positive,100.0
"Just a few days of using it but it's been really good, no complaints. Bass is good , speech recognition by virtual assistants is good too",Positive,100.0
It's as expected. I love it,Positive,100.0
Very nice product  still enjoying the product it works well for me,Positive,100.0
Yes it can be better,Positive,100.0
Perfect,Negative,100.0
"Battery last long and great sound, I love it",Positive,100.0
Nice One,Negative,100.0
"I don't know if the pods have a mouthpiece though cuz I tried making a call without holding my phone and the other person could barely hear not until I brought the phone closer to me Asides that, music and every other thing has been great.",Positive,100.0
"This right here is beautiful and the sound is awesome, you can hear tiniest instruments",Positive,100.0
Very good,Negative,100.0
Good and quality product. But only connects to one device at a time. It is too big to the ear. Works fine anyway.,Positive,100.0
It’s cool,Negative,100.0
"The bass, the fit and the design, top notch",Positive,100.0
"It's really a good one, just as advertised and also a good value for money.",Positive,100.0
The ear buds works just perfectly fine????.. The battery life nah mad oh! Nice one from Oraimo????,Positive,100.0
Best Ear Pod I have used so far,Positive,100.0
So good and the noise cancellation feature is superb,Positive,100.0
"The product is good so far 
I’m enjoying it",Positive,100.0
Very good and fast delivery ☺️,Positive,100.0
